time_point,real_infected,dd_infected,dd_scaled_infected,ff_infected,ff_scaled_infected,dd_error,dd_scaled_error,ff_error,ff_scaled_error,dd_error_sq,dd_scaled_error_sq,ff_error_sq,ff_scaled_error_sq
11,16.46,6.01576861119727,40.1724962190067,6.77144772289745,18.0736140014102,10.44423138880273,-23.712496219006702,9.688552277102552,-1.6136140014101983,109.08196930285222,562.2824769364072,93.86804522614905,2.6037501455470315
11.5,13.6,6.49768697282745,43.8379945984149,7.3566477166821,19.5284585888387,7.10231302717255,-30.2379945984149,6.2433522833179,-5.9284585888387,50.44285033594491,914.3363173337686,38.97944773361083,35.146621239575346
12,11.64,7.0135791192518004,47.6075434370164,7.9874850303944704,21.0788275014585,4.6264208807482,-35.9675434370164,3.65251496960553,-9.438827501458498,21.40377016582295,1293.6641808936618,13.340865603192487,89.09146460228926
12.5,11.25,7.56507630241487,51.443582265297,8.666637019125,22.7274324382358,3.6849236975851296,-40.193582265297,2.583362980875,-11.477432438235802,13.578662657024465,1615.5240553171977,6.673764290955366,131.73145537426743
13,18.69,8.15376187348912,55.3045463091442,9.39678183528033,24.4764576088344,10.53623812651088,-36.6145463091442,9.293218164719672,-5.7864576088344,111.01231385854152,1340.6250014244654,86.36390385707567,33.48309165883752
13.5,16.4,8.78114376828136,59.1463524142063,10.1805625670275,26.3274677755685,7.618856231718638,-42.7463524142063,6.219437432972498,-9.927467775568502,58.04697027959793,1827.2506447195208,38.68140198265954,98.55461643495101
14,16.95,9.44863078409969,62.9240891024452,11.020554133201,28.2812801990067,7.50136921590031,-45.974089102445205,5.929445866799,-11.331280199006702,56.27054011325683,2113.616868799571,35.158328287299746,128.39791094840137
14.5,7.71,10.15749683608,66.5935650040792,11.9192144494235,30.3378749143488,-2.44749683608,-58.883565004079195,-4.2092144494234995,-22.627874914348798,5.99024076262161,3467.27422758962,17.717486281235573,512.0207231394156
15,20.78,10.9088484506674,70.1132132854536,12.8788374556174,32.4962855474082,9.871151549332602,-49.333213285453596,7.901162544382601,-11.716285547408198,97.43963290989143,2433.7659330680553,62.42836955275453,137.2713470284062
15.5,21.99,11.7035919081663,73.4453742663742,13.9015001804073,34.7544845002151,10.286408091833698,-51.45537426637421,8.088499819592698,-12.7644845002151,105.81019143174177,2647.655540892645,65.42382933155112,162.93206455623155
16,25.56,12.5423867892787,76.5577129656798,14.9889938734532,37.1093166126385,13.017613210721299,-50.997712965679796,10.571006126546798,-11.549316612638503,169.45825370394567,2600.766727729865,111.74617052748995,133.3867142189677
